Nom,Prix,Description,Isbn,Photo,Editeur,Categorie
Augustine: Le récit d&#39un résilience,15.09,,979-8310255227,https://m.media-amazon.com/images/I/61w6a9sAGEL._SY522_.jpg,Independently published (17 février 2025),Biographies
Le cercle littéraire des amateurs d&#39épluchures de patates,6.24,,978-2264053510,https://m.media-amazon.com/images/I/71RpBtx378L._SY522_.jpg,10 X 18 (6 janvier 2011),Biographies
La dernière vague,19.79,"Cette dernière vague, je ne la verrai pas. Je ne l&#39entendrai pas. Je ne sais pas où elle est. Je ne sais pas quelle forme elle prendra mais je sais qu&#39elle existe et qu&#39elle viendra. Trop tard pour que je lui parle, trop tard pour que je l&#39écoute. Elle pourra toujours murmurer à l&#39oreille de ma femme, de mes enfants et de mes petits-enfants que l&#39amour est plus fort que la mort. Elle les rendra heureux comme je l&#39ai été. Aujourd&#39hui, je suis triste mais je n&#39ai pas peur. Ce qui compte, ce ne sont pas les années qu&#39il y a eu dans la vie, c&#39est la vie qu&#39il y a eu dans ces années. Et la mienne a été belle. Elle m&#39a emmené aux quatre coins du bonheur, de l&#39Agence France-Presse à Canal+, de TF1 à France Télévisions, de L&#39Équipe TV à beIN Sports. J&#39ai joué au foot avec Pelé, j&#39ai interviewé Tyson en prison, j&#39ai commenté la boxe avec Belmondo et Bouttier, j&#39ai été en larmes quand Ray Charles est venu chanter Georgia à Atlanta et bouleversé en vivant la mort des otages à Munich. J&#39ai vu grandir des journalistes talentueux qui rayonnent sur les ondes et qui m&#39accompagnent dans ce dernier combat. Je le perdrai mais que cette maladie de Charcot le sache, elle a affaire à un guerrier breton. Charles Biétry",978-2080470744,https://m.media-amazon.com/images/I/71LyaGS+Q+L._SY522_.jpg,FLAMMARION (29 janvier 2025),Biographies
Une vie de foot,15.98,"Elle appartient au club très fermé des Zidane, Guardiola, Cruyff ou Ancelotti, ses équivalents masculins. Ceux qui ont réussi sur le terrain et sur le banc des entraîneurs. Du foot de village au très haut niveau, Sonia Bompastor collectionne les premières fois. Lorsqu&#39en 1998, le centre de formation de Clairefontaine ouvre enfin ses portes aux femmes, elle figure parmi les pionnières. En 2011, elle soulève la Ligue des champions avec l&#39Olympique lyonnais dont elle est capitaine. Aucun club français n&#39avait réussi cet exploit auparavant. Dix ans plus tard, Sonia devient la première entraîneure de l&#39OL, la plus grande équipe féminine du monde, et remporte en 2022 la Ligue des champions : elle est ainsi la première femme à décrocher ce trophée en tant que coach et joueuse. En dépit des freins, du manque de moyens, de public ou de reconnaissance, Sonia Bompastor incarne avec ténacité l&#39émergence des femmes tant sur les terrains et que dans les yeux des supporters. Avec son parcours exceptionnel, la joueuse nous montre l&#39évolution du football féminin, en toute simplicité.",978-2080442215,https://m.media-amazon.com/images/I/71jYfke0rML._SY522_.jpg,ARTHAUD (19 février 2025),Biographies
Ma vie sans gravité,5.97,"Comment devient-on le plus jeune Français à partir vers la Station spatiale ? Comment passer de sa Normandie natale aux pas de tir de Baïkonour et de Cap Canaveral ? Pour la première fois, Thomas Pesquet se raconte sans détour, dans un récit très personnel aussi drôle que surprenant. Il nous entraîne des coulisses de l&#39école des astronautes jusqu&#39au frisson du décollage, partage le quotidien de ses 396 jours à bord de l&#39ISS et l&#39émerveillement de découvrir, flottant dans le vide intersidéral, notre planète si fragile. Une autobiographie aux allures de roman d&#39aventures, dont le héros est devenu l&#39une des personnalités préférées des Français.",978-2290405932,https://m.media-amazon.com/images/I/61DkuZjz5HL._SY522_.jpg,J&#39AI LU; Illustrated édition (30 octobre 2024),Biographies
"Das außergewöhnliche Leben eines Dienstmädchens namens PETITE, besser bekannt als Madame Tussaud",18.47,,978-3406739484,https://m.media-amazon.com/images/I/61SGNYM7AnL._SY522_.jpg,C.H. Beck (1 septembre 2019),Biographies
Une autobiographie,11.48,,978-2253118619,https://m.media-amazon.com/images/I/711pjB3uKVL._SY522_.jpg,Le Livre de Poche (5 septembre 2007),Biographies
Steve Jobs,12.21,,978-2253168522,https://m.media-amazon.com/images/I/71mmowWE5iL._SY522_.jpg,Le Livre de Poche; Reprint édition (3 octobre 2012),Biographies
La Statue intérieure,18.64,"""Je porte ainsi en moi, sculptée depuis l&#39enfance, une sorte de statue intérieure qui donne une continuité à ma vie, qui est la part la plus intime, le noyau le plus dur de mon caractère. Cette statue, je l&#39ai modelée toute ma vie. Je lui ai sans cesse apporté des retouches. Je l&#39ai affinée. Je l&#39ai polie. La gouge et le ciseau, ici, ce sont des rencontres et des combinaisons. Des rythmes qui se bousculent. Des feuillets égarés d&#39un chapitre qui se glissent dans un autre au calendrier des émotions"". François Jacob est professeur à l&#39Institut Pasteur et au Collège de France. Il a obtenu, avec André Lwoff et Jacques Monod, le prix Nobel de médecine, en 1965.",978-2738104717,https://m.media-amazon.com/images/I/61q4x04RXyL._SY522_.jpg,Odile Jacob (31 décembre 1996),Biographies
Un fragment de moi: Avec ... Contre ... Et Grâce à toi,19.07,,979-8309397655,https://m.media-amazon.com/images/I/61vipC4wpyL._SY522_.jpg,Independently published (25 février 2025),Biographies
"L’INCROYABLE VOYAGE DE MADAME BONBONS: Grand périple d’un amour inconditionnel qui jamais ne s’abîme ou ne s’oublie, … il se vénère se transmet et s’amplifie.",5.9,,978-2487297852,https://m.media-amazon.com/images/I/717r3vCqUqL._SY522_.jpg,EDITIONS ATIPIQUE (2 février 2025),Biographies
Le Livre de l&#39intranquillité,5.69,"Journal de bord de Fernando Pessoa,",978-2267047554,https://m.media-amazon.com/images/I/71gAdPqwUuL._SY522_.jpg,BOURGOIS (10 octobre 2024),Biographies
"Ma mère, Dieu et Litzie",17.66,Une leçon d&#39espoir et d&#39humanité qui célèbre l&#39amour et les liens qui nous unissent,978-2266344012,https://m.media-amazon.com/images/I/71gbzW4cP+L._SY522_.jpg,Pocket (24 octobre 2024),Biographies
Je sais pourquoi chante l&#39oiseau en cage,7.13,,978-2253127536,https://m.media-amazon.com/images/I/81uQNhJuz+L._SY522_.jpg,Le Livre de Poche (30 septembre 2009),Biographies
Ecrire un one-man-show et monter sur scène,8.99,,978-2212565102,https://m.media-amazon.com/images/I/71qAMZFm06L._SY522_.jpg,EYROLLES (18 août 2016),Biographies
Jean le bleu,5.44,"Dans ce récit autobiographique, Jean Giono évoque son enfance passée à Manosque, dans une maison haute avec un escalier étroit qui relie la blanchisserie du rez-de-chaussée, où s?active sa mère, Pauline, au troisième où se trouve l?atelier de cordonnier de son père. C?est là que Jean Giono a appris à sentir, à voir et à penser, sous la garde vigilante de sa mère, modelé par la sagesse et la grande bonté de son père. Jean Giono nous raconte aussi les aventures et les drames qui l?ont marqué et sa découverte de la sensualité au cours d?un séjour chez les bergers. C?est sur le départ pour la guerre de 1914 que s?achève ce merveilleux recueil de souvenirs d?enfance, empli de fraîcheur et de tendresse.",978-2253000228,https://m.media-amazon.com/images/I/91mTzWyzEqL._SY522_.jpg,Le Livre de Poche (1 janvier 1974),Biographies
Je veux vivre,17.95,,979-8306484587,https://m.media-amazon.com/images/I/71k4WVgY6CL._SY522_.jpg,Independently published (22 février 2025),Biographies
Trust (Pulitzer Prize Winner),12.36,"WINNER OF THE PULITZER PRIZE FOR FICTION

ONE OF",978-0593420324,https://m.media-amazon.com/images/I/910lg-mg-sL._SY522_.jpg,Riverhead Books (2 mai 2023),Biographies
Der gebrauchte Jude: Selbstporträt,14.94,,978-3596172610,https://m.media-amazon.com/images/I/61jpKRZETHL._SY522_.jpg,FISCHER Taschenbuch; 2. édition (11 février 2011),Biographies
Osée Josephine: La biographie intime de Joséphine Baker,14.16,"De Joséphine Baker, on connaît surtout l&#39artiste excentrique qui a rencontré le succès le succès dans les années 1920 dans La Revue Nègre. Pourtant, derrière cette image un peu frivole de chanteuse des Années Folles, il y a une femme bien plus complexe et profonde. Dans ce livre, l&#39auteur révèle une Joséphine Baker méconnue et intime. Une femme éprise de liberté, muse des peintres cubistes, mais aussi une grande résistante au service des Forces Françaises Libres. Militante anti-raciste, elle adopta douze enfants de toutes les nationalités et son engagement ne faiblira pas jusqu&#39à son dernier souffle. À travers des interviews inédites de la famille, c&#39est une grande figure de la France qui revit : une femme au destin exceptionnel qui a été de tous les combats. Avec passion et très en avance sur son temps.",978-2824619774,https://m.media-amazon.com/images/I/61ZscC7g+HL._SY522_.jpg,City Edition (19 janvier 2022),Biographies
Orwell ou l&#39horreur de la politique,14.57,"De George Orwell, le lecteur français connaît surtout le prophétique 1984, terrifiante description de la société totalitaire, et La Ferme des animaux, une satire féroce du monde soviétique. Pourtant, la vie et le travail du romancier britannique, mort en 1950, ne sauraient se résumer à ces deux chefs-d&#39oeuvre, aussi visionnaires soient-ils. Auteur prolifique, journaliste talentueux, militant jusqu&#39au bout, Orwell de sort vrai nom Eric Blair est une figure admirable et lucide. Armé d&#39un socialisme débarrassé ""de ses hypocrisies, de ses lâchetés et de ses sottises"", il a mené une lutte inlassable contre le totalitarisme. Et chez Orwell, les écrits sont cautionnés par les actes. Toute sa vie fut une quête tendue vers cet ""idéal d&#39un homme déterminé à tout prix à énoncer des vérités pas bonnes à dire"". Dans ce petit essai, initialement publié pour saluer la date orwellienne de 1984, Simon Leys décortique la théorie politique de cet écrivain majeur et tord le cou à un certain nombre d&#39idées reçues. En décryptant la double vocation d&#39Orwell (""écrivain politique""), il dessine en creux son autoportrait, celui d&#39un homme discret qui adhère à son oeuvre à chaque instant de son existence.",978-2081331419,https://m.media-amazon.com/images/I/61P2+UicQ+L._SY522_.jpg,FLAMMARION (12 mars 2014),Biographies
Victor Hugo (édition intégrale),15.5,,978-2374480060,https://m.media-amazon.com/images/I/71eNi0u6sUL._SY522_.jpg,XO (21 septembre 2017),Biographies
Mademoiselle Déjazet,17.82,"Treizième enfant d’une famille modeste, Virginie Déjazet débute sur les planches à l’âge de cinq ans. Le succès semble rapidement lui sourire, mais la presse et les rivalités sont redoutables sur le célèbre Boulevard du Crime…
Femme de tête et femme de cœur, elle se forge une devise ""Bien faire et laisser dire"". Mais la course à l’amour fou et au succès n’est pas sans écueils. Comment rester soi-même dans un milieu où la concurrence est rude et se joue dans le lit des directeurs de théâtre ?
Le rideau n’attend plus que vous pour se lever sur l’histoire vraie de Virginie Déjazet, la petite comédienne qui côtoya Rachel, Sarah Bernhardt et toute l’élite intellectuelle de son temps, avant d’être balayée par les soubresauts d’un siècle tourmenté.",978-2957252107,https://m.media-amazon.com/images/I/716FfftHrGL._SY522_.jpg,,Biographies
"Le Temps des Billes, des Confitures et du Saint-Esprit",10.86,"Dans ce roman d’inspiration autobiographique, nous suivons les tribulations d’Étienne Delgrade, douze ans en 1967. Sa dernière année de primaire à l’école Jean Monnet de Soyaux, ses vacances à la ferme en Charente et l’été suivant clôturent une fin de cycle, période délicieuse, heureuse et insouciante de son enfance. Au mois de septembre, il devait découvrir une nouvelle vie, parachuté en secondaire au collège Edmond Rostand.
L’auteur narre la métamorphose, les drôleries, les sentiments et les épreuves de ce jeune garçon aux portes de l’adolescence, qui mord la vie à pleines dents ! Tête en l’air, intrigué et intrigant, agité, sentimental, il serait aujourd’hui, sans doute, étiqueté hyperactif et dyslexique.
La fantaisie et les intrigues se mêlent dans des récits rythmés, entre souvenirs réels et imaginaires, au cœur de pensées sincères, qui auraient toutes pu exister et être authentiques !",979-8306191508,https://m.media-amazon.com/images/I/71dOcIAl11L._SY522_.jpg,Independently published (18 février 2025),Biographies
La vie meilleure,13.78,"""Nous sommes la somme de nos amours. Et c&#39est la seule chose qui restera de nous."" On l&#39a comparé à Gandhi, à Einstein, à Lénine. Des foules l&#39ont acclamé. Des milliardaires lui ont tapé sur l&#39épaule. Les damnés de la terre l&#39ont imploré. Aujourd&#39hui, son nom nous fait sourire, tout comme son invention : la méthode Coué. Singulier destin que celui d&#39Émile Coué, obscur pharmacien français devenu célébrité mondiale, tour à tour adulé et moqué. La vie meilleure retrace l&#39histoire de ce précurseur du développement personnel qui, au début du XXᵉ siècle, pensait avoir découvert les clés de la santé et du bonheur. Un homme sincère jusque dans sa roublardise, qui croyait plus que tout au pouvoir des mots et de l&#39imagination. Avec ce roman lumineux aux accents intimes, Étienne Kern rend hommage à ceux qui cherchent coûte que coûte une place pour la joie.",978-2073075833,https://m.media-amazon.com/images/I/81bQ1z-uCIL._SY522_.jpg,Gallimard; 1er édition (22 août 2024),Biographies
"RAYONNANTE: Les clés d&#39une vie épanouie pour oser être soi I Un parcours de pleine conscience, de spiritualité et de bien-être",13.24,Et si vous arrêtiez enfin de prétendre que tout va bien ?,979-8301936579,https://m.media-amazon.com/images/I/6154CNoi7zL._SY522_.jpg,Independently published (15 mai 2024),Biographies
La pantera,7.56,"Brillanti, colti, belli, Charles e Edward Detmold sono la speranza dell’arte inglese, tra i grandi disegnatori del secolo scorso. Gemelli, il loro capolavoro è il carnet di illustrazioni per un’edizione di pregio del Libro della giungla, del 1903. Inaspettatamente, al culmine della fama, Charles, nel 1908, a 24 anni, si uccide. Edward continuerà a realizzare opere di pregio – le illustrazioni agli Arabian Nights, ad esempio – ma la morte del fratello sconvolge le sue energie: finirà per chiudersi in una cupa solitudine, dai tardi anni Venti, insieme alla sorella, Sarah, divenuta vedova. Si ucciderà anche lui, Edward, sigillando la scelta drastica del fratello, cinquant’anni dopo, nel 1957. Il romanzo si snoda tra i meandri dei rapporti obliqui tra gemelli, insinuando amori incestuosi, nel bel mondo dell’Inghilterra di allora. Appaiono, creature fugaci, Rudyard Kipling e T.H. Lawrence, Karen Blixen e Vladimir Nabokov; per lo più, il romanzo s’incentra sui legami ossessivi, sonda l’enigma dell’arte, il desiderio della gloria adombrato dal gusto per la dissipazione.",979-1280987297,https://m.media-amazon.com/images/I/51f1++SYPiL._SY522_.jpg,Industria & Letteratura (6 mars 2024),Biographies
François Mauriac. Biographie intime,12.18,"François Mauriac est un des écrivains les plus engagés dans l’histoire littéraire, spirituelle et politique du xx",978-2818504956,https://m.media-amazon.com/images/I/81Lr-SCQXbL._SY522_.jpg,Fayard/Pluriel (4 novembre 2015),Biographies
Balzac,7.42,,978-2253139256,https://m.media-amazon.com/images/I/71sSn2deFpL._SY522_.jpg,Le Livre de Poche; Le Livre de Poche édition (1 mars 1996),Biographies
Une chanson d&#39amour à Auschwitz: Le pouvoir de l&#39amour dans l&#39endroit le plus sombre du monde,15.28,SEUL L&#39AMOUR PEUT ÉCLAIRER L&#39ENDROIT LE PLUS SOMBRE DE LA TERRE,979-8346025733,https://m.media-amazon.com/images/I/61k0LGtPYvL._SY522_.jpg,Independently published (9 novembre 2024),Biographies
Rinascimento privato,14.83,"In queste pagine si racconta la vicenda di Isabella d&#39Este, divenuta marchesa di Mantova dopo il matrimonio con Francesco Gonzaga; non di una semplice per quanto raffinata biografia si tratta, però, quanto di un vero e proprio romanzo: sia per la presenza di alcuni personaggi totalmente inventati - come Robert de la Pole, corrispondente del re d&#39inghilterra e innamorato platonico di Isabella -, sia soprattutto per la qualità della scrittura, che sembra avvolgere in una sorta di abbagliante pulviscolo ogni figura e ogni fatto storico. Protagonista assoluta è lei, Isabella, che ormai alla soglia dei sessant&#39anni rievoca la propria vita da quando, sposa sedicenne, giunse a Mantova e in un periodo tra i più tumultuosi e fulgidi della nostra storia, a cavallo tra Quattro e Cinquecento, resse le fila del piccolo stato costruendo attorno a sé una corte di ineguagliato splendore.",978-8804668312,https://m.media-amazon.com/images/I/81zhdSc793L._SY522_.jpg,Mondadori (24 mai 2016),Biographies
La vie et les voyages du Capitaine Cook: Nouvelle édition illustrée,6.0,,978-2494653412,https://m.media-amazon.com/images/I/71akkahJWeL._SY522_.jpg,A. de la Pinsonnais (13 octobre 2024),Biographies
,16.87,,,,,Biographies
"Pierre Bénichou, une figure de style",12.83,"« Je ne vois pas aujourd&#39hui de personnalités équivalentes, en liberté, en folie, en humour. »À qui s&#39adressaient ces compliments signés Frédéric Beigbeder ?Natif d&#39Oran, âme du",978-2268111643,https://m.media-amazon.com/images/I/71Buko+n3FL._SY522_.jpg,Editions du Rocher (12 mars 2025),Biographies
On Earth We&#39re Briefly Gorgeous,19.32,,978-1529110685,https://m.media-amazon.com/images/I/91om-N7Ry3L._SY522_.jpg,Vintage; 1er édition (1 septembre 2020),Biographies
Mon Guillain-Barré à moi,8.66,"Novembre 1973. J&#39attrape une maladie carabinée. Les copains me disent ""Écris ça, c&#39est intéressant""._x000d_ Des faits : au cours de travaux de chantier, je me blesse légèrement. La famille me dit « Vite, va te faire faire un sérum antitétanique ». J&#39y vais._x000d_ Quinze jours après, au lit, parfaitement paralysé de la tête aux pieds, huit mois d&#39hospitalisation dont six en réanimation intensive, le syndrome de Guillain-Barré (le nom des médecins qui l&#39ont nommé), dû au sérum._x000d_ La mort qui rôde, le cœur qui démarre. La douleur !_x000d_ Un jour, une nuit ? Soudain je n&#39ai absolument plus mal du tout. « Regarde cette lumière -toi qui en a si peur- plus brillante que mille soleils qui t&#39éclaire de partout sans t&#39éblouir, soit cette lumière de l&#39amour qui est en toi ». Inoubliable instant d&#39amour où la mort ne sait pas très bien qui elle est, expérience de mort imminente comme on dit maintenant._x000d_ Après ? Après un pied qui bouge, la remontée vers la santé, la deuxième vie qui commence dans la paix du corps acceptant sa réincarnation.",978-2414406944,https://m.media-amazon.com/images/I/51zJAvf3HDL._SY522_.jpg,Edilivre (30 octobre 2019),Biographies
"Cyril Hanouna : De TPMP au Pouvoir Médiatique – L’Animateur qui Bouscule la France: Succès, Polémiques, Influence Politique et Vie Privée : La Vérité sur l’Homme le Plus Puissant du PAF",17.75,,979-8312601848,https://m.media-amazon.com/images/I/61BlYZvhldL._SY522_.jpg,Independently published (1 mars 2025),Biographies
Mademoiselle Déjazet,5.81,"Treizième enfant d’une famille modeste, Virginie Déjazet débute sur les planches à l’âge de cinq ans. Le succès semble rapidement lui sourire, mais la presse et les rivalités sont redoutables sur le célèbre Boulevard du Crime…
Femme de tête et femme de cœur, elle se forge une devise ""Bien faire et laisser dire"". Mais la course à l’amour fou et au succès n’est pas sans écueils. Comment rester soi-même dans un milieu où la concurrence est rude et se joue dans le lit des directeurs de théâtre ?
Le rideau n’attend plus que vous pour se lever sur l’histoire vraie de Virginie Déjazet, la petite comédienne qui côtoya Rachel, Sarah Bernhardt et toute l’élite intellectuelle de son temps, avant d’être balayée par les soubresauts d’un siècle tourmenté.",978-2957252107,https://m.media-amazon.com/images/I/716FfftHrGL._SY522_.jpg,,Biographies
LETTRES A UN SAINT: Lettres de Guadalupe Ortiz de Landázuri à saint Josémaria,6.48,"En 1944, lorsque Guadalupe, professeur de chimie, rencontre saint Josémaria, elle comprend que Dieu lui ouvre un chemin de sainteté au milieu du monde, à travers son travail professionnel. Quelques mois après cette rencontre, elle lui adresse une lettre qui commence par « Père », comme elle le fera toujours par la suite. Cette lettre, dans laquelle elle demandait à saint Josémaria d’être admise dans l’Opus Dei, sera la première d’une série de 350 lettres que Guadalupe lui écrira. Cette correspondance commence le 19 mars 1944 et se termine le 22 juin 1975, quatre jours avant le décès de saint Josémaria, à Rome.Plus de trois cents lettres, des milliers de mots écrits à la main, des lettres confiées à un saint. Guadalupe écrivit à saint Josémaria pendant plus de trente ans, sans attendre de réponse, parce qu’elle souhaitait avant tout ouvrir son âme, la montrer telle qu’elle était, en toute sincérité et en toute confiance. Ces lettres reflètent sa vie intérieure débordante et sont le fruit, bien souvent, de sa prière : « Que ce soit dans la prière, dans les lettres que je vous écris ou lorsque je parle avec don Pedro, je me vide de tout ce qui me préoccupe et je me sens légère pour accueillir tout ce que le Seigneur voudra mettre sur mes épaules », lui écrit-t-elle dans une lettre envoyée du Mexique . Ces lettres sont rédigées avec le naturel d’une fille qui écrit à son père et la simplicité de celle qui a partagé ces confidences avec Dieu dans la prière. Guadalupe cherche la lumière et la prière de celui qui a reçu la grâce de Dieu pour ouvrir un nouveau chemin de sainteté dans le monde : « Je vous écris, Père, pour que, comme toujours, vous puissiez continuer à me connaître en profondeur, à m’aider et à me conseiller » .",978-1096518396,https://m.media-amazon.com/images/I/6116I4Emj4L._SY522_.jpg,Independently published (3 mai 2019),Biographies
