Nom,Prix,Description,Isbn,Photo,Editeur,Categorie
Recueil de poèmes,13.13,"« T&#39éblouissent les apparitions qui sont non pour les yeux, ni pour l&#39intelligence, mais pour le coeur et l&#39esprit. Antoine de Saint-Exupéry, CITADELLE, Gallimard Folio, 1948 Sur le pont invisible des choses et des êtres, Elle se nourrit d&#39une littérature imaginaire écrite derrière les visages, les apparences, Elle regarde par-delà l&#39éphémère, L&#39infini transparence. Sur le pont invisible transcendant les horizons, Elle pose sa mémoire entre deux temps effleurant la délicate fragilité de l&#39instant, Jusqu&#39au bout du chemin qu&#39elle imagine à l&#39horizon. Sur le pont invisible qui relie les attentes, les espérances, Elle tisse les liens subtils l&#39unissant au silence. » Passionnée par les lettres et les langues, Emmanuelle Le Baler a étudié à l&#39université de Corse avant de devenir gérante d&#39une librairie, enrichissant son amour pour les mots. Poétesse dès son jeune âge, elle aspire à capturer l&#39essence de la vie dans ses vers, cherchant à éveiller les consciences par la beauté et l&#39harmonie de sa poésie.",979-1020374653,https://m.media-amazon.com/images/I/71XN5S2lJkL._SY522_.jpg,Baudelaire (8 octobre 2024),Poesie
"Parfois, aimer: Un voyage poétique au cœur de l’amour",18.74,,979-8301447839,https://m.media-amazon.com/images/I/41YtNucpq2L._SY522_.jpg,Independently published (16 décembre 2024),Poesie
Cahier d&#39un retour au pays natal,7.05,""" Et nous sommes debout maintenant, mon pays et moi, les cheveux dans le vent, ma main petite maintenant dans son poing énorme et la force n&#39est pas en nous, mais au-dessus de nous, dans une voix qui vrille la nuit et l&#39audience comme la pénétrance d&#39une guêpe apocalyptique. Et la voix prononce que l&#39Europe nous a pendant des siècles gavés de mensonges et gonflés de pestilences, car il n&#39est point vrai que l&#39œuvre de l&#39homme est finie, que nous n&#39avons rien à faire au monde, que nous parasitons le monde mais l&#39œuvre de l&#39homme vient seulement de commencer et il reste à l&#39homme à conquérir toute interdiction immobilisée aux coins de sa ferveur et aucune race ne possède le monopole de la beauté, de l&#39intelligence, de la force et il est place pour tous au rendez-vous de la conquête et nous savons maintenant que le soleil tourne autour de notre terre éclairant la parcelle qu&#39a fixée notre volonté seule et que toute étoile chute de ciel en terre à notre commandement sans limite "". La réédition du Cahier d&#39un retour au pays natal, la première œuvre d&#39Aimé Césaire, saluée depuis l&#39origine comme le texte fondamental de la génération de la Négritude.",978-2708704206,https://m.media-amazon.com/images/I/51URwfPek1L._SY522_.jpg,Présence Africaine; Presence Africaine édition (11 juillet 2000),Poesie
La mort est mon métier,15.09,"""Le Reichsführer Himmler bougea la tête, et le bas de son visage s&#39éclaira...- Le Führer, dit-il d&#39une voix nette, a ordonné la solution définitive du problème juif en Europe.Il fit une pause et ajouta : - Vous avez été choisi pour exécuter cette tâche.Je le regardai. Il dit sèchement : - Vous avez l&#39air effaré. Pourtant, l&#39idée d&#39en finir avec les Juifs n&#39est pas neuve.- Nein, Herr Reichsführer. Je suis seulement étonné que ce soit moi qu&#39on ait choisi...""",978-2070367894,https://m.media-amazon.com/images/I/81fuAqk4NSL._SY522_.jpg,FOLIO (26 avril 1976),Poesie
Cent mille milliards de poèmes,16.82,Ouvrage réalisé d&#39après les maquettes de Massin. Nouvelle édition en 1982,978-2070104673,https://m.media-amazon.com/images/I/91eetgwbX+L._SY466_.jpg,Gallimard (7 juillet 1961),Poesie
Recueil de poèmes,5.45,"« T&#39éblouissent les apparitions qui sont non pour les yeux, ni pour l&#39intelligence, mais pour le coeur et l&#39esprit. Antoine de Saint-Exupéry, CITADELLE, Gallimard Folio, 1948 Sur le pont invisible des choses et des êtres, Elle se nourrit d&#39une littérature imaginaire écrite derrière les visages, les apparences, Elle regarde par-delà l&#39éphémère, L&#39infini transparence. Sur le pont invisible transcendant les horizons, Elle pose sa mémoire entre deux temps effleurant la délicate fragilité de l&#39instant, Jusqu&#39au bout du chemin qu&#39elle imagine à l&#39horizon. Sur le pont invisible qui relie les attentes, les espérances, Elle tisse les liens subtils l&#39unissant au silence. » Passionnée par les lettres et les langues, Emmanuelle Le Baler a étudié à l&#39université de Corse avant de devenir gérante d&#39une librairie, enrichissant son amour pour les mots. Poétesse dès son jeune âge, elle aspire à capturer l&#39essence de la vie dans ses vers, cherchant à éveiller les consciences par la beauté et l&#39harmonie de sa poésie.",979-1020374653,https://m.media-amazon.com/images/I/71XN5S2lJkL._SY522_.jpg,Baudelaire (8 octobre 2024),Poesie
Les Trois mousquetaires,10.21,,978-2253008880,https://m.media-amazon.com/images/I/81oTzmQqrPL._SY522_.jpg,Le Livre de Poche; 1er édition (1 août 2011),Poesie
Quand je ne dis rien je pense encore,11.95,"""Quand je ne dis rien je pense encore"" explore en poésie ces moments où la conversation s’interrompt et où les choses à dire restent en nous, parce qu’elles nous apparaissent trop incertaines ou trop particulières pour être partagées. Ces instants où ce qu’on pense se sépare de ce qu’on dit, où parfois notre visage dit des choses que nous préférerions garder pour nous, où il nous arrive de parler en retard. Entre ce qui se manifeste en nous-mêmes, ce que nous montrons et ce qui est perçu se créent des écarts, que nous tendons toujours plus à taire qu’à expliciter. Chacune, chacun, se retrouvera dans la fragilité de ces instants si rarements nommés.",978-2924652350,https://m.media-amazon.com/images/I/41GuO9TxdrL._SY522_.jpg,L&#39Oie de Cravan; 1er édition (21 janvier 2022),Poesie
Poesif: Les plus belles citations et plus beaux poèmes,19.38,"Ayant connu un succès fulgurant sur TikTok, les auteurs de POESIF ont décidé, suite à la demande de leur communauté, de rassembler les meilleurs oeuvres de leur compte dans un ouvrage. Après des mois de travail, ces deux amis passionnés de poésie et littérature sont fiers de vous présenter leur recueil dessiné en trois chapitres : citations, poèmes & créations originales ainsi qu’une formule tout à fait inédite : un chapitre bonus offrant l’opportunité à chacun de laisser parler son coeur… et sa plume.",979-8869607560,https://m.media-amazon.com/images/I/41FHD6KwK1L._SY522_.jpg,Independently published (12 décembre 2023),Poesie
Murmurations amoureuses,11.0,Murmurations amoureuses,979-8334389595,https://m.media-amazon.com/images/I/51hKNvNEGoL._SY522_.jpg,Independently published (30 juillet 2024),Poesie
Recueil de poèmes,16.56,"« T&#39éblouissent les apparitions qui sont non pour les yeux, ni pour l&#39intelligence, mais pour le coeur et l&#39esprit. Antoine de Saint-Exupéry, CITADELLE, Gallimard Folio, 1948 Sur le pont invisible des choses et des êtres, Elle se nourrit d&#39une littérature imaginaire écrite derrière les visages, les apparences, Elle regarde par-delà l&#39éphémère, L&#39infini transparence. Sur le pont invisible transcendant les horizons, Elle pose sa mémoire entre deux temps effleurant la délicate fragilité de l&#39instant, Jusqu&#39au bout du chemin qu&#39elle imagine à l&#39horizon. Sur le pont invisible qui relie les attentes, les espérances, Elle tisse les liens subtils l&#39unissant au silence. » Passionnée par les lettres et les langues, Emmanuelle Le Baler a étudié à l&#39université de Corse avant de devenir gérante d&#39une librairie, enrichissant son amour pour les mots. Poétesse dès son jeune âge, elle aspire à capturer l&#39essence de la vie dans ses vers, cherchant à éveiller les consciences par la beauté et l&#39harmonie de sa poésie.",979-1020374653,https://m.media-amazon.com/images/I/71XN5S2lJkL._SY522_.jpg,Baudelaire (8 octobre 2024),Poesie
Murmure de l&#39ange: Recueil de poésie illustré,9.23,"Cette version numérique contient des illustrations accompagnant chaque poésie.

Parfois en vers, parfois en prose… Mes poèmes expriment les émotions à travers le temps, à la recherche de la plénitude en soi.
Ils sont un baume pour notre cœur, afin d’aider chacun à guérir ses blessures. Je les écris d’abord pour moi, comme une thérapie apportant la joie intérieure.
Écrire avec son âme, c’est traduire l’émotion du moment, en écoutant sa petite voix intérieure qui nous guide vers notre cœur…
Chaque poème, empreint de métaphores et d’images, exprime des réflexions sur la vie, l’éternité et le lien entre l’humain et l’univers. Ma poésie se veut un élixir pour les âmes, invitant à une transformation personnelle et collective, en célébrant la beauté des instants présents et l’espoir d’une unité harmonieuse.
« Murmure de l’ange » est un recueil de poésie invitant à voyager dans un univers onirique et contemplatif au travers d’une douceur apaisante…",979-8310209862,https://m.media-amazon.com/images/I/61OOGZUgsDL._SY522_.jpg,Independently published (10 février 2025),Poesie
Murmure de l&#39ange: Recueil de poésie illustré,14.63,"Cette version numérique contient des illustrations accompagnant chaque poésie.

Parfois en vers, parfois en prose… Mes poèmes expriment les émotions à travers le temps, à la recherche de la plénitude en soi.
Ils sont un baume pour notre cœur, afin d’aider chacun à guérir ses blessures. Je les écris d’abord pour moi, comme une thérapie apportant la joie intérieure.
Écrire avec son âme, c’est traduire l’émotion du moment, en écoutant sa petite voix intérieure qui nous guide vers notre cœur…
Chaque poème, empreint de métaphores et d’images, exprime des réflexions sur la vie, l’éternité et le lien entre l’humain et l’univers. Ma poésie se veut un élixir pour les âmes, invitant à une transformation personnelle et collective, en célébrant la beauté des instants présents et l’espoir d’une unité harmonieuse.
« Murmure de l’ange » est un recueil de poésie invitant à voyager dans un univers onirique et contemplatif au travers d’une douceur apaisante…",979-8310209862,https://m.media-amazon.com/images/I/61OOGZUgsDL._SY522_.jpg,Independently published (10 février 2025),Poesie
Le thésaurus des émotions: Vos personnages s’expriment : guide aux auteurs & écrivains | D’après le best-seller d’Angela Ackerman & Becca Puglisi,14.12,,979-8385633135,https://m.media-amazon.com/images/I/71igSFgN8HL._SY522_.jpg,Independently published (2 mars 2023),Poesie
Guérison sentimentale,16.54,À travers la,979-8304446426,https://m.media-amazon.com/images/I/51k-fF6lYVL._SY522_.jpg,Independently published (21 décembre 2024),Poesie
Poèmes amateurs 4: 68 poètes de tous horizons à découvrir !,5.36,,979-8312701630,https://m.media-amazon.com/images/I/71JJ24OdPfL._SY522_.jpg,Independently published (8 mars 2025),Poesie
L&#39Idiot,17.44,,978-2253067085,https://m.media-amazon.com/images/I/8144rw0RgPL._SY522_.jpg,Le Livre de Poche (1 juin 1994),Poesie
Mignonne allons voir si la rose et autres poèmes: suivi d&#39un parcours sur la poésie amoureuse,19.75,"Une anthologie des plus célèbres poèmes de Ronsard, suivi d’une anthologie sur la poésie amoureuse. En complément, un cahier « Histoire des arts ».",978-2401045804,https://m.media-amazon.com/images/I/91cNihww1-L._SY522_.jpg,Hatier; Illustrated édition (11 avril 2018),Poesie
Tant que le soleil brille,12.55,"Dans Tant que le soleil brille, IBBY peint avec sincérité un paysage poétique où le harcèlement, les blessures du passé, les amours fanés, la peur, la déception, le courage, la solitude, et la résilience se mêlent. C&#39est un recueil de poésie qui respire la vie, qui célèbre la détermination qui brille en chacun de nous, invitant l&#39âme à danser dans la lumière de l&#39espoir, même au coeur des ténèbres. Message de l&#39autrice : Tant que le soleil brille, ne lâche pas.",978-2322522989,https://m.media-amazon.com/images/I/41HQRj7A5kL._SY522_.jpg,BOOKS ON DEMAND (4 avril 2024),Poesie
le soleil et ses fleurs,10.37,"Le deuxième recueil de Rupi Kaur, l&#39auteur phénomène qui est devenue la voix de toute une génération.",978-2266298452,https://m.media-amazon.com/images/I/614UGP9FqQL._SY522_.jpg,Pocket (5 mars 2020),Poesie
Murmure de l&#39ange: Recueil de poésie illustré,19.1,"Cette version numérique contient des illustrations accompagnant chaque poésie.

Parfois en vers, parfois en prose… Mes poèmes expriment les émotions à travers le temps, à la recherche de la plénitude en soi.
Ils sont un baume pour notre cœur, afin d’aider chacun à guérir ses blessures. Je les écris d’abord pour moi, comme une thérapie apportant la joie intérieure.
Écrire avec son âme, c’est traduire l’émotion du moment, en écoutant sa petite voix intérieure qui nous guide vers notre cœur…
Chaque poème, empreint de métaphores et d’images, exprime des réflexions sur la vie, l’éternité et le lien entre l’humain et l’univers. Ma poésie se veut un élixir pour les âmes, invitant à une transformation personnelle et collective, en célébrant la beauté des instants présents et l’espoir d’une unité harmonieuse.
« Murmure de l’ange » est un recueil de poésie invitant à voyager dans un univers onirique et contemplatif au travers d’une douceur apaisante…",979-8310209862,https://m.media-amazon.com/images/I/61OOGZUgsDL._SY522_.jpg,Independently published (10 février 2025),Poesie
Murmure de l&#39ange: Recueil de poésie illustré,15.46,"Cette version numérique contient des illustrations accompagnant chaque poésie.

Parfois en vers, parfois en prose… Mes poèmes expriment les émotions à travers le temps, à la recherche de la plénitude en soi.
Ils sont un baume pour notre cœur, afin d’aider chacun à guérir ses blessures. Je les écris d’abord pour moi, comme une thérapie apportant la joie intérieure.
Écrire avec son âme, c’est traduire l’émotion du moment, en écoutant sa petite voix intérieure qui nous guide vers notre cœur…
Chaque poème, empreint de métaphores et d’images, exprime des réflexions sur la vie, l’éternité et le lien entre l’humain et l’univers. Ma poésie se veut un élixir pour les âmes, invitant à une transformation personnelle et collective, en célébrant la beauté des instants présents et l’espoir d’une unité harmonieuse.
« Murmure de l’ange » est un recueil de poésie invitant à voyager dans un univers onirique et contemplatif au travers d’une douceur apaisante…",979-8310209862,https://m.media-amazon.com/images/I/61OOGZUgsDL._SY522_.jpg,Independently published (10 février 2025),Poesie
Itinéraire d&#39un naufragé: L&#39intégrale des chansons,16.83,,978-2757895078,https://m.media-amazon.com/images/I/71yti+V1HXL._SY522_.jpg,POINTS (13 octobre 2023),Poesie
Anthologie de la poésie française,7.87,,978-2253005438,https://m.media-amazon.com/images/I/819JuF8LjUS._SY522_.jpg,Le Livre de Poche; Nouv. éd. suivie d&#39un post-scriptum édition (1 avril 1974),Poesie
Les Nuits du coeur,6.46,Une discussion a-t-elle déjà bouleversé votre vie ?,978-2221280089,https://m.media-amazon.com/images/I/61GUt5zskRL._SY522_.jpg,Robert Laffont (13 mars 2025),Poesie
Le premier pas,9.27,"Un autre pas dans la guérison, un souhait de vie plus fort que la mort, écrire l&#39universalité pour rendre visible l&#39invisible.",978-2322482849,https://m.media-amazon.com/images/I/513+EleX0dL._SY522_.jpg,BOOKS ON DEMAND (18 juillet 2023),Poesie
Ubu Roi,11.74,,978-2253149057,https://m.media-amazon.com/images/I/71YVQPpZ8hL._SY522_.jpg,Le Livre de Poche (1 juin 2000),Poesie
Les cent plus beaux poèmes de la langue française,18.2,,978-2253153030,https://m.media-amazon.com/images/I/81b4jzGYBiL._SY522_.jpg,Le Livre de Poche; Le Livre de Poche édition (15 mai 2002),Poesie
Les Ronces,19.31,Le recueil,979-1027802784,https://m.media-amazon.com/images/I/51XKlqSSuiL._SY522_.jpg,Le castor astral (25 février 2021),Poesie
La Fontaine : Fables,11.17,,978-2253010043,https://m.media-amazon.com/images/I/81aMzmfGg0L._SY522_.jpg,Le Livre de Poche (12 juin 2002),Poesie
Murmure de l&#39ange: Recueil de poésie illustré,9.5,"Cette version numérique contient des illustrations accompagnant chaque poésie.

Parfois en vers, parfois en prose… Mes poèmes expriment les émotions à travers le temps, à la recherche de la plénitude en soi.
Ils sont un baume pour notre cœur, afin d’aider chacun à guérir ses blessures. Je les écris d’abord pour moi, comme une thérapie apportant la joie intérieure.
Écrire avec son âme, c’est traduire l’émotion du moment, en écoutant sa petite voix intérieure qui nous guide vers notre cœur…
Chaque poème, empreint de métaphores et d’images, exprime des réflexions sur la vie, l’éternité et le lien entre l’humain et l’univers. Ma poésie se veut un élixir pour les âmes, invitant à une transformation personnelle et collective, en célébrant la beauté des instants présents et l’espoir d’une unité harmonieuse.
« Murmure de l’ange » est un recueil de poésie invitant à voyager dans un univers onirique et contemplatif au travers d’une douceur apaisante…",979-8310209862,https://m.media-amazon.com/images/I/61OOGZUgsDL._SY522_.jpg,Independently published (10 février 2025),Poesie
Murmure de l&#39ange: Recueil de poésie illustré,5.05,"Cette version numérique contient des illustrations accompagnant chaque poésie.

Parfois en vers, parfois en prose… Mes poèmes expriment les émotions à travers le temps, à la recherche de la plénitude en soi.
Ils sont un baume pour notre cœur, afin d’aider chacun à guérir ses blessures. Je les écris d’abord pour moi, comme une thérapie apportant la joie intérieure.
Écrire avec son âme, c’est traduire l’émotion du moment, en écoutant sa petite voix intérieure qui nous guide vers notre cœur…
Chaque poème, empreint de métaphores et d’images, exprime des réflexions sur la vie, l’éternité et le lien entre l’humain et l’univers. Ma poésie se veut un élixir pour les âmes, invitant à une transformation personnelle et collective, en célébrant la beauté des instants présents et l’espoir d’une unité harmonieuse.
« Murmure de l’ange » est un recueil de poésie invitant à voyager dans un univers onirique et contemplatif au travers d’une douceur apaisante…",979-8310209862,https://m.media-amazon.com/images/I/61OOGZUgsDL._SY522_.jpg,Independently published (10 février 2025),Poesie
Murmure de l&#39ange: Recueil de poésie illustré,11.73,"Cette version numérique contient des illustrations accompagnant chaque poésie.

Parfois en vers, parfois en prose… Mes poèmes expriment les émotions à travers le temps, à la recherche de la plénitude en soi.
Ils sont un baume pour notre cœur, afin d’aider chacun à guérir ses blessures. Je les écris d’abord pour moi, comme une thérapie apportant la joie intérieure.
Écrire avec son âme, c’est traduire l’émotion du moment, en écoutant sa petite voix intérieure qui nous guide vers notre cœur…
Chaque poème, empreint de métaphores et d’images, exprime des réflexions sur la vie, l’éternité et le lien entre l’humain et l’univers. Ma poésie se veut un élixir pour les âmes, invitant à une transformation personnelle et collective, en célébrant la beauté des instants présents et l’espoir d’une unité harmonieuse.
« Murmure de l’ange » est un recueil de poésie invitant à voyager dans un univers onirique et contemplatif au travers d’une douceur apaisante…",979-8310209862,https://m.media-amazon.com/images/I/61OOGZUgsDL._SY522_.jpg,Independently published (10 février 2025),Poesie
Murmure de l&#39ange: Recueil de poésie illustré,12.72,"Cette version numérique contient des illustrations accompagnant chaque poésie.

Parfois en vers, parfois en prose… Mes poèmes expriment les émotions à travers le temps, à la recherche de la plénitude en soi.
Ils sont un baume pour notre cœur, afin d’aider chacun à guérir ses blessures. Je les écris d’abord pour moi, comme une thérapie apportant la joie intérieure.
Écrire avec son âme, c’est traduire l’émotion du moment, en écoutant sa petite voix intérieure qui nous guide vers notre cœur…
Chaque poème, empreint de métaphores et d’images, exprime des réflexions sur la vie, l’éternité et le lien entre l’humain et l’univers. Ma poésie se veut un élixir pour les âmes, invitant à une transformation personnelle et collective, en célébrant la beauté des instants présents et l’espoir d’une unité harmonieuse.
« Murmure de l’ange » est un recueil de poésie invitant à voyager dans un univers onirique et contemplatif au travers d’une douceur apaisante…",979-8310209862,https://m.media-amazon.com/images/I/61OOGZUgsDL._SY522_.jpg,Independently published (10 février 2025),Poesie
Phèdre: suivi du parcours « Passion et tragédie »,14.62,"Le chef-d’œuvre de Racine, suivi d’un parcours littéraire « Passion et tragédie ». Dans une édition conforme aux nouveaux programmes de français du lycée, incluant notamment des prolongements artistiques et culturels et un dossier Nouveau bac.",978-2401053113,https://m.media-amazon.com/images/I/71kk3p0k1PL._SY522_.jpg,Hatier (5 juin 2019),Poesie
Paroles,19.75,Le cancreil dit non avec la têtemais il dit oui avec le cœuril dit oui à ce qu&#39il aimeil dit non au professeuril est debouton le questionneet tous les problèmes sont poséssoudain le fou rire le prendet il efface toutles chiffres et les motsles dates et les nomsles phrases et les piègeset malgré les menaces du maîtresous les huées des enfants prodigesavec des craies de toutes les couleurssur le tableau noir du malheuril dessine le visage du bonheur,978-2070367627,https://m.media-amazon.com/images/I/71LHz0V67IL._SY522_.jpg,Gallimard; New édition (1 mai 1989),Poesie
Rythmes,19.93,"Composé à plus de 80 ans par Andrée Chedid, Rythmes apparaît pourtant comme un livre de jeunesse, tant il manifeste une capacité d&#39étonnement et d&#39émerveillement devant la vie et ses métamorphoses, tant il fait montre, en dépit d’une lucidité sans compromis sur les faiblesses, travers et failles de l&#39humain, d&#39un optimisme obstiné, vigoureux, sans cesse renaissant. On y retrouve, d&#39une façon extraordinairement vive et franche, tous les thèmes de l&#39œuvre d&#39Andrée Chedid, son appétit de l&#39ouvert et du mouvement, sa généreuse passion de l&#39autre en toute chose, passion qui permet de sortir de son «étroite peau» et de bousculer ce qui limite la conscience et l’avancée. Même si l’on entend dans ces poèmes quelques échos de la vieillesse et du combat contre l&#39effacement et la perte, ce chant poétique ne s’en tient jamais à la confidence personnelle, il élargit toujours ses résonnances, au rythme vibrant d’un cœur obstiné, avec en perspective l’ensemble de l&#39aventure humaine et ses questionnements face à l&#39énigme qui perdure et à l&#39inconnu qui vient. Sans doute n’y a-t-il rien de plus émouvant, au seuil de la mort, que cet éloge convaincu et raisonné de la vie.",978-2072750519,https://m.media-amazon.com/images/I/71W2cthFvdL._SY522_.jpg,Gallimard (18 janvier 2018),Poesie
Moby Dick,6.34,"Assoiffé d&#39aventures, Ishmaël prend le large. De tous les Préface de Jean Giono navires qui sillonnent les mers au XIXᵉ siècle, les baleiniers sont sans doute les plus redoutables : c&#39est sur l&#39un d&#39eux qu&#39Ishmaël s&#39embarque pour chasser ces léviathans et gagner l&#39océan. À bord du Péquod, il fait la rencontre du capitaine Achab, voué à la destruction d&#39un seul être : Moby Dick, la baleine blanche qui jadis emporta sa jambe. Rivé à un unique objet, Achab s&#39identifie peu à peu à la baleine, métamorphose qui n&#39épargne pas son corps : à la place de sa jambe mutilée trône désormais l&#39os d&#39un cétacé. Les considérations économiques et maritimes, comme les rêves de voyage d&#39Ishmaël, cèdent le pas devant l&#39obsession du marin pour l&#39effroyable animal. Entraîné par la haine obstinée de son capitaine, l&#39équipage voit son horizon progressivement réduit à la seule ombre blanche de Moby Dick. Derrière le roman d&#39aventures, Melville peint les tourments d&#39une haine passionnelle qui touche au plus brûlant des amours.",978-2070400669,https://m.media-amazon.com/images/I/81+FdUu7KdL._SY522_.jpg,Folio (3 mai 1996),Poesie
Orgueil et préjugés,10.38,,978-2253088905,https://m.media-amazon.com/images/I/81nKAJtQ+uL._SY522_.jpg,Le Livre de Poche; 1er édition (30 novembre 2011),Poesie
Madrid En quelques jours 7ed,5.75,"Un guide tout en couleurs, concis et ultrapratique pour découvrir Madrid en quelques jours.",978-2384922871,https://m.media-amazon.com/images/I/71v7LaI3b-L._SY522_.jpg,Lonely Planet; 7e édition (1 juin 2023),Poesie
